net,length_um
net351,104.9µm
net215,104.8µm
net405,104.44µm
net536,103.63µm
_00898_,103.48µm
net503,103.395µm
net24,103.32µm
net359,103.32µm
net603,103.135µm
net420,102.835µm
net501,102.83µm
_02041_,102.8µm
net607,102.65µm
net476,102.2µm
net414,102.16µm
net564,102.1µm
net525,102µm
net217,101.94µm
net206,101.93µm
net328,101.84µm
net380,101.48µm
net407,101.39µm
net204,101.29µm
net76,101.26µm
net182,100.3µm
net543,99.7µm
net332,99.515µm
net25,99.32µm
net98,99.08µm
net229,98.945µm
net566,98.7µm
net164,98.455µm
net571,98.45µm
net87,98.32µm
_00778_,98.28µm
net464,97.92µm
net211,97.84µm
net461,97.66µm
net374,97.3µm
net256,97.08µm
net442,96.98µm
net411,96.92µm
net222,96.51µm
net208,96.42µm
net419,96.31µm
net214,96.14µm
net343,96µm
net180,95.955µm
net172,95.625µm
net494,95.32µm
net109,95.14µm
net415,95.06µm
net550,94.695µm
net239,94.54µm
net559,94.48µm
net166,94.32µm
net578,94.115µm
net483,94.1µm
net510,93.415µm
net447,93.14µm
net619,93.04µm
net573,92.98µm
net630,92.825µm
net223,92.79µm
net514,92.32µm
net485,92.22µm
net276,92.045µm
net397,91.18µm
net624,91.15µm
_00773_,90.66µm
net344,90.24µm
_04139_,89.9µm
net486,89.7µm
net431,89.56µm
net436,89µm
net597,88.68µm
net386,88.645µm
net202,88.22µm
net226,88.13µm
net467,87.3µm
net244,87.28µm
net302,87.08µm
net469,86.74µm
net479,86.39µm
_00772_,86.36µm
_00041_,86.32µm
net533,86.2µm
net524,85.8µm
net452,85.595µm
net497,85.58µm
net159,84.73µm
net541,84.42µm
net477,84.035µm
net287,83.64µm
net459,83.595µm
net317,83.57µm
net446,82.62µm
net437,82.36µm
net433,82.26µm
_00771_,82.24µm
net231,81.94µm
_01587_,81.92µm
_03125_,81.92µm
net542,81.68µm
net168,79.4µm
_01422_,78.84µm
net572,78.43µm
net381,78.36µm
net617,78.17µm
net413,78.06µm
net556,77.98µm
net353,77.76µm
net201,77.74µm
_01935_,77.58µm
net391,77.2µm
net427,76.85µm
net228,76.82µm
net6,76.26µm
net203,76.12µm
_01762_,75.76µm
net526,75.14µm
net389,74.76µm
net325,74.74µm
net577,74.56µm
net268,74.36µm
net234,74.33µm
net4,73.9µm
net236,73.1µm
net595,73.015µm
net348,72.96µm
net230,72.78µm
net31,72.52µm
net471,72.185µm
net527,71.9µm
net618,71.715µm
net9,71.42µm
net368,71.42µm
_03626_,71.29µm
_04034_,70.8µm
net366,70.65µm
net490,70.33µm
_04124_,69.32µm
net507,69.12µm
net347,68.92µm
net346,68.63µm
net19,67.98µm
net2,67.78µm
_02036_,67.68µm
net94,67.62µm
_02691_,67.33µm
net540,67.29µm
_04033_,67.08µm
_01498_,66.74µm
net535,66.23µm
net309,66.12µm
net480,66.08µm
net15,65.98µm
